,ML,Low_90,High_90,Low_50,High_50,state,district
182,1.24,0.85,1.6500000000000001,1.1,1.43,Andhra Pradesh,S.P.S. Nellore
183,1.23,0.86,1.6400000000000001,1.09,1.41,Andhra Pradesh,S.P.S. Nellore
184,1.22,0.84,1.59,1.08,1.3900000000000001,Andhra Pradesh,S.P.S. Nellore
185,1.21,0.86,1.6,1.05,1.35,Andhra Pradesh,S.P.S. Nellore
186,1.19,0.85,1.57,1.08,1.3800000000000001,Andhra Pradesh,S.P.S. Nellore
187,1.18,0.85,1.56,1.06,1.35,Andhra Pradesh,S.P.S. Nellore
188,1.17,0.8300000000000001,1.52,1.06,1.35,Andhra Pradesh,S.P.S. Nellore
189,1.16,0.8300000000000001,1.51,1.04,1.32,Andhra Pradesh,S.P.S. Nellore
190,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Srikakulam
191,2.61,0.98,5.24,1.86,3.64,Andhra Pradesh,Srikakulam
192,2.4,0.9400000000000001,4.58,1.76,3.29,Andhra Pradesh,Srikakulam
193,2.25,0.93,4.21,1.68,3.06,Andhra Pradesh,Srikakulam
194,2.14,0.85,3.87,1.55,2.82,Andhra Pradesh,Srikakulam
195,2.18,0.9400000000000001,3.86,1.6600000000000001,2.89,Andhra Pradesh,Srikakulam
196,2.07,0.89,3.61,1.62,2.77,Andhra Pradesh,Srikakulam
197,1.99,0.88,3.45,1.52,2.6,Andhra Pradesh,Srikakulam
198,1.92,0.87,3.3200000000000003,1.5,2.5300000000000002,Andhra Pradesh,Srikakulam
199,1.87,0.81,3.15,1.48,2.47,Andhra Pradesh,Srikakulam
200,1.82,0.8300000000000001,3.09,1.43,2.38,Andhra Pradesh,Srikakulam
201,1.77,0.79,2.97,1.41,2.33,Andhra Pradesh,Srikakulam
202,1.73,0.79,2.91,1.37,2.2600000000000002,Andhra Pradesh,Srikakulam
203,1.7,0.77,2.83,1.3,2.16,Andhra Pradesh,Srikakulam
204,1.67,0.76,2.77,1.3,2.14,Andhra Pradesh,Srikakulam
205,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Visakhapatnam
206,2.15,0.93,3.79,1.67,2.88,Andhra Pradesh,Visakhapatnam
207,1.83,0.84,3.1,1.42,2.37,Andhra Pradesh,Visakhapatnam
208,1.67,0.81,2.7800000000000002,1.35,2.18,Andhra Pradesh,Visakhapatnam
209,1.57,0.76,2.54,1.27,2.02,Andhra Pradesh,Visakhapatnam
210,1.5,0.75,2.4,1.2,1.8900000000000001,Andhra Pradesh,Visakhapatnam
211,1.44,0.73,2.2800000000000002,1.18,1.83,Andhra Pradesh,Visakhapatnam
212,1.43,0.75,2.23,1.18,1.8,Andhra Pradesh,Visakhapatnam
213,1.42,0.76,2.18,1.17,1.76,Andhra Pradesh,Visakhapatnam
214,1.4000000000000001,0.76,2.12,1.18,1.75,Andhra Pradesh,Visakhapatnam
215,1.42,0.81,2.13,1.2,1.75,Andhra Pradesh,Visakhapatnam
216,1.42,0.8200000000000001,2.09,1.22,1.75,Andhra Pradesh,Visakhapatnam
